,sub_station_code,station_name,line_no,x_wgs,y_wgs,raw_dong,raw_code,admin_dong,admin_code
0,2818,가락시장,8,127.118234,37.492522,가락동,1171010700,가락1동,1171063100
1,340,가락시장,3,127.118234,37.492522,가락동,1171010700,가락1동,1171063100
2,2535,종로3가,5,126.991806,37.571607,묘동,1111015100,종로1.2.3.4가동,1111061500
3,319,종로3가,3,126.991806,37.571607,묘동,1111015100,종로1.2.3.4가동,1111061500
4,153,종로3가,1,126.991806,37.571607,묘동,1111015100,종로1.2.3.4가동,1111061500
5,2558,오금,5,127.128111,37.502162,오금동,1171011200,오금동,1171057000
6,342,오금,3,127.128111,37.502162,오금동,1171011200,오금동,1171057000
7,155,동대문,1,127.009745,37.57142,창신동,1111017400,창신제2동,1111068000
8,421,동대문,4,127.009745,37.57142,창신동,1111017400,창신제2동,1111068000
9,2537,동대문역사문화공원,5,127.007896,37.565138,을지로7가,1114014900,,
10,205,동대문역사문화공원,2,127.007896,37.565138,을지로7가,1114014900,,
11,422,동대문역사문화공원,4,127.007896,37.565138,을지로7가,1114014900,,
12,321,충무로,3,126.99428,37.561243,필동2가,1114013800,필동,1114057000
13,423,충무로,4,126.99428,37.561243,필동2가,1114013800,필동,1114057000
14,1291,서울,A,126.972559,37.554648,봉래동2가,1114012000,,
15,150,서울,1,126.972559,37.554648,봉래동2가,1114012000,,
16,426,서울,4,126.972559,37.554648,봉래동2가,1114012000,,
17,234,신도림,2,126.891295,37.508725,신도림동,1153010100,신도림동,1153051000
18,1007,신도림,1,126.891295,37.508725,신도림동,1153010100,신도림동,1153051000
19,1008,이촌,K,126.974345,37.522272,용산동5가,1117012700,한강로동,1117062500
20,430,이촌,4,126.974345,37.522272,용산동5가,1117012700,한강로동,1117062500
21,208,왕십리,2,127.037732,37.561533,행당동,1120010700,행당제1동,1120056000
22,1845,왕십리,B,127.037732,37.561533,행당동,1120010700,행당제1동,1120056000
23,2541,왕십리,5,127.037732,37.561533,행당동,1120010700,행당제1동,1120056000
24,1013,왕십리,K,127.037732,37.561533,행당동,1120010700,행당제1동,1120056000
25,201,시청,2,126.977108,37.564718,태평로2가,1114011400,소공동,1114052000
26,151,시청,1,126.977108,37.564718,태평로2가,1114011400,소공동,1114052000
27,223,교대,2,127.01408,37.493415,서초동,1165010800,서초1동,1165051000
28,330,교대,3,127.01408,37.493415,서초동,1165010800,서초1동,1165051000
29,4713,신설동,UI,127.025087,37.575297,신설동,1123010100,용신동,1123053600
30,246,신설동,2,127.025087,37.575297,신설동,1123010100,용신동,1123053600
31,156,신설동,1,127.025087,37.575297,신설동,1123010100,용신동,1123053600
32,214,강변,2,127.094681,37.535095,구의동,1121510300,구의제3동,1121587000
33,2519,까치산,5,126.846683,37.531768,화곡동,1150010300,,
34,260,까치산,2,126.846683,37.531768,화곡동,1150010300,,
38,320,을지로3가,3,126.99191,37.566295,을지로3가,1114015500,을지로동,1114060500
39,203,을지로3가,2,126.99191,37.566295,을지로3가,1114015500,을지로동,1114060500
40,1264,홍대입구,K,126.925381,37.557192,동교동,1144012100,,
41,1293,홍대입구,A,126.925381,37.557192,동교동,1144012100,,
42,239,홍대입구,2,126.925381,37.557192,동교동,1144012100,,
43,1019,광운대,1,127.061835,37.623632,월계동,1135010200,월계3동,1135058000
44,1308,광운대,G,127.061835,37.623632,월계동,1135010200,월계3동,1135058000
45,2722,상봉,7,127.085032,37.596362,상봉동,1126010200,상봉제2동,1126059000
46,1202,상봉,K,127.085032,37.596362,상봉동,1126010200,상봉제2동,1126059000
47,1309,상봉,G,127.085032,37.596362,상봉동,1126010200,상봉제2동,1126059000
48,1203,망우,K,127.091909,37.59955,상봉동,1126010200,상봉제1동,1126058000
49,1310,망우,G,127.091909,37.59955,상봉동,1126010200,상봉제1동,1126058000
50,2524,영등포구청,5,126.895951,37.52497,당산동3가,1156011300,당산제1동,1156055000
51,236,영등포구청,2,126.895951,37.52497,당산동3가,1156011300,당산제1동,1156055000
52,1032,신길,1,126.917169,37.517122,신길동,1156013200,신길제1동,1156063000
